,manga_name,manga_link,volumes,chapters,status,genres,authors,serialization,members,favorite,score,rank,popularity,published 
0,Berserk,https://myanimelist.net/manga/2/Berserk,Unknown,Unknown,Publishing,"Action, Adventure, Demons, Drama, Fantasy, Horror, Supernatural, Military, Psychological, Seinen","Miura, Kentarou (Story & Art)",Young Animal,"241,511","51,860",9.311,12,4,"Aug  25, 1989 to ?"
1,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run,24,96,Finished,"Action, Adventure, Mystery, Historical, Horror, Shounen, Supernatural","Araki, Hirohiko (Story & Art)",Ultra Jump,"62,146","11,695",9.181,22,81,"Jan  19, 2004 to Apr  19, 2011"
2,Fullmetal Alchemist,https://myanimelist.net/manga/25/Fullmetal_Alchemist,27,116,Finished,"Action, Adventure, Comedy, Drama, Shounen, Military","Arakawa, Hiromu (Story & Art)",Shounen Gangan,"174,721","24,532",9.131,32,11,"Jul  12, 2001 to Sep  11, 2010"
3,One Piece,https://myanimelist.net/manga/13/One_Piece,Unknown,Unknown,Publishing,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power","Oda, Eiichiro (Story & Art)",Shounen Jump (Weekly),"255,244","61,615",9.081,42,3,"Jul  22, 1997 to ?"
4,Monster,https://myanimelist.net/manga/1/Monster,18,162,Finished,"Mystery, Drama, Psychological, Seinen","Urasawa, Naoki (Story & Art)",Big Comic Original,"83,821","8,436",9.041,52,48,"Dec  5, 1994 to Dec  20, 2001"
5,Oyasumi Punpun,https://myanimelist.net/manga/4632/Oyasumi_Punpun,13,147,Finished,"Drama, Slice of Life, Psychological, Seinen","Asano, Inio (Story & Art)",Big Comic Spirits,"148,503","20,559",9.021,62,14,"Mar  15, 2007 to Nov  2, 2013"
6,Vagabond,https://myanimelist.net/manga/656/Vagabond,37,327,Publishing,"Action, Adventure, Drama, Historical, Samurai, Seinen","Inoue, Takehiko (Story & Art), Yoshikawa, Eiji (Story)",Morning,"105,325","11,359",9.001,72,25,"Mar  23, 1999 to May  21, 2015"
7,Kingdom,https://myanimelist.net/manga/16765/Kingdom,Unknown,Unknown,Publishing,"Action, Drama, Historical, Military, Seinen","Hara, Yasuhisa (Story & Art)",Young Jump,"53,569","6,041",9.001,82,112,"Jan  26, 2006 to ?"
8,Grand Blue,https://myanimelist.net/manga/70345/Grand_Blue,Unknown,Unknown,Publishing,"Comedy, Slice of Life, Seinen","Inoue, Kenji (Story), Yoshioka, Kimitake (Art)",good! Afternoon,"57,436","5,547",8.991,92,92,"Apr  7, 2014 to ?"
9,Slam Dunk,https://myanimelist.net/manga/51/Slam_Dunk,31,276,Finished,"Comedy, Drama, School, Shounen, Sports","Inoue, Takehiko (Story & Art)",Shounen Jump (Weekly),"55,543","6,511",8.981,102,103,"Sep  18, 1990 to Jun  4, 1996"
10,20th Century Boys,https://myanimelist.net/manga/3/20th_Century_Boys,22,249,Finished,"Mystery, Drama, Historical, Sci-Fi, Psychological, Seinen","Urasawa, Naoki (Story & Art)",Big Comic Spirits,"87,904","9,366",8.951,112,42,"Sep  27, 1999 to Apr  24, 2006"
11,Made in Abyss,https://myanimelist.net/manga/91941/Made_in_Abyss,Unknown,Unknown,Publishing,"Adventure, Drama, Fantasy, Sci-Fi","Tsukushi, Akihito (Story & Art)",Web Comic Gamma,"55,952","4,707",8.941,122,101,"Oct  20, 2012 to ?"
